Title,Price,Rating,Scraped_Time
A Light in the Attic,51.77,3,2026-06-26 02:26:42
Tipping the Velvet,53.74,1,2026-06-26 02:26:42
Soumission,50.1,1,2026-06-26 02:26:42
Sharp Objects,47.82,4,2026-06-26 02:26:42
Sapiens: A Brief History of Humankind,54.23,5,2026-06-26 02:26:42
The Requiem Red,22.65,1,2026-06-26 02:26:42
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,2026-06-26 02:26:42
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,2026-06-26 02:26:42
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,2026-06-26 02:26:42
The Black Maria,52.15,1,2026-06-26 02:26:42
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,2026-06-26 02:26:42
Shakespeare's Sonnets,20.66,4,2026-06-26 02:26:42
Set Me Free,17.46,5,2026-06-26 02:26:42
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,2026-06-26 02:26:42
Rip it Up and Start Again,35.02,5,2026-06-26 02:26:42
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,2026-06-26 02:26:42
Olio,23.88,1,2026-06-26 02:26:42
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,2026-06-26 02:26:42
Libertarianism for Beginners,51.33,2,2026-06-26 02:26:42
It's Only the Himalayas,45.17,2,2026-06-26 02:26:42
In Her Wake,12.84,1,2026-06-26 02:26:44
How Music Works,37.32,2,2026-06-26 02:26:44
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,2026-06-26 02:26:44
Chase Me (Paris Nights #2),25.27,5,2026-06-26 02:26:44
Black Dust,34.53,5,2026-06-26 02:26:44
Birdsong: A Story in Pictures,54.64,3,2026-06-26 02:26:44
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,2026-06-26 02:26:44
Aladdin and His Wonderful Lamp,53.13,3,2026-06-26 02:26:44
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,2026-06-26 02:26:44
Wall and Piece,44.18,4,2026-06-26 02:26:44
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,2026-06-26 02:26:44
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,2026-06-26 02:26:44
The Elephant Tree,23.82,5,2026-06-26 02:26:44
The Bear and the Piano,36.89,1,2026-06-26 02:26:44
Sophie's World,15.94,5,2026-06-26 02:26:44
Penny Maybe,33.29,3,2026-06-26 02:26:44
Maude (1883-1993):She Grew Up with the country,18.02,2,2026-06-26 02:26:44
"In a Dark, Dark Wood",19.63,1,2026-06-26 02:26:44
Behind Closed Doors,52.22,4,2026-06-26 02:26:44
You can't bury them all: Poems,33.63,2,2026-06-26 02:26:44
Slow States of Collapse: Poems,57.31,3,2026-06-26 02:26:41
Reasons to Stay Alive,26.41,2,2026-06-26 02:26:41
Private Paris (Private #10),47.61,5,2026-06-26 02:26:41
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,2026-06-26 02:26:41
Without Borders (Wanderlove #1),45.07,2,2026-06-26 02:26:41
When We Collided,31.77,1,2026-06-26 02:26:41
"We Love You, Charlie Freeman",50.27,5,2026-06-26 02:26:41
Untitled Collection: Sabbath Poems 2014,14.27,4,2026-06-26 02:26:41
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,2026-06-26 02:26:41
Unicorn Tracks,18.78,3,2026-06-26 02:26:41
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,2026-06-26 02:26:41
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,2026-06-26 02:26:41
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,2026-06-26 02:26:41
This One Summer,19.49,4,2026-06-26 02:26:41
Thirst,17.27,5,2026-06-26 02:26:41
The Torch Is Passed: A Harding Family Story,19.09,1,2026-06-26 02:26:41
The Secret of Dreadwillow Carse,56.13,1,2026-06-26 02:26:41
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,2026-06-26 02:26:41
The Past Never Ends,56.5,4,2026-06-26 02:26:41
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,2026-06-26 02:26:41
The Nameless City (The Nameless City #1),38.16,4,2026-06-26 02:26:41
The Murder That Never Was (Forensic Instincts #5),54.11,3,2026-06-26 02:26:41
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,2026-06-26 02:26:41
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,2026-06-26 02:26:41
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,2026-06-26 02:26:41
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,2026-06-26 02:26:41
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,2026-06-26 02:26:41
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,2026-06-26 02:26:41
The Death of Humanity: and the Case for Life,58.11,4,2026-06-26 02:26:41
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,2026-06-26 02:26:41
The Art Forger,40.76,3,2026-06-26 02:26:41
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,2026-06-26 02:26:41
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,2026-06-26 02:26:41
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,2026-06-26 02:26:41
Soul Reader,39.58,2,2026-06-26 02:26:41
Security,39.25,2,2026-06-26 02:26:41
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,2026-06-26 02:26:41
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,2026-06-26 02:26:41
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,2026-06-26 02:26:41
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,2026-06-26 02:26:41
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,2026-06-26 02:26:42
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,2026-06-26 02:26:42
"Pop Gun War, Volume 1: Gift",18.97,1,2026-06-26 02:26:42
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,2026-06-26 02:26:42
Patience,10.16,3,2026-06-26 02:26:42
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,2026-06-26 02:26:42
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,2026-06-26 02:26:42
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,2026-06-26 02:26:42
On a Midnight Clear,14.07,3,2026-06-26 02:26:42
Obsidian (Lux #1),14.86,2,2026-06-26 02:26:42
My Paris Kitchen: Recipes and Stories,33.37,2,2026-06-26 02:26:42
Masks and Shadows,56.4,2,2026-06-26 02:26:42
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,2026-06-26 02:26:42
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,2026-06-26 02:26:42
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,2026-06-26 02:26:42
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,2026-06-26 02:26:42
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,2026-06-26 02:26:42
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,2026-06-26 02:26:42
Join,35.67,5,2026-06-26 02:26:42
In the Country We Love: My Family Divided,22.0,4,2026-06-26 02:26:42
